2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
214,Lafayette[27],Louisiana,124276,120623,0.0303,49.2æsqæmi,"2,450æperæsqæmi",30.2116ÁN 92.0314ÁW
215,Midland,Texas,123933,111147,0.115,72.1æsqæmi,"1,542æperæsqæmi",32.0299ÁN 102.1097ÁW
216,Surprise,Arizona,123546,117517,0.0513,105.7æsqæmi,"1,111æperæsqæmi",33.6706ÁN 112.4527ÁW
217,Denton,Texas,123099,113383,0.0857,88.0æsqæmi,"1,289æperæsqæmi",33.2151ÁN 97.1417ÁW
218,Victorville,California,121096,115903,0.0448,73.2æsqæmi,"1,584æperæsqæmi",34.5277ÁN 117.3536ÁW
219,Evansville,Indiana,120310,117429,0.0245,44.2æsqæmi,"2,660æperæsqæmi",37.9877ÁN 87.5347ÁW
220,Santa Clara,California,120245,116468,0.0324,18.4æsqæmi,"6,327æperæsqæmi",37.3646ÁN 121.9679ÁW
221,Abilene,Texas,120099,117063,0.0259,106.8æsqæmi,"1,096æperæsqæmi",32.4545ÁN 99.7381ÁW
222,Athens[28],Georgia,119980,115452,0.0392,116.4æsqæmi,992æperæsqæmi,33.9496ÁN 83.3701ÁW
223,Vallejo,California,118837,115942,0.025,30.7æsqæmi,"3,780æperæsqæmi",38.1079ÁN 122.2639ÁW
224,Allentown,Pennsylvania,118577,118032,0.0046,17.5æsqæmi,"6,727æperæsqæmi",40.5940ÁN 75.4782ÁW
225,Norman,Oklahoma,118197,110925,0.0656,178.8æsqæmi,621æperæsqæmi,35.2406ÁN 97.3453ÁW
226,Beaumont,Texas,117796,118296,-0.0042,82.8æsqæmi,"1,429æperæsqæmi",30.0843ÁN 94.1458ÁW
227,Independence,Missouri,117240,116830,0.0035,77.6æsqæmi,"1,506æperæsqæmi",39.0853ÁN 94.3513ÁW
228,Murfreesboro,Tennessee,117044,108755,0.0762,55.3æsqæmi,"1,965æperæsqæmi",35.8522ÁN 86.4161ÁW
229,Ann Arbor,Michigan,117025,113934,0.0271,27.8æsqæmi,"4,094æperæsqæmi",42.2756ÁN 83.7313ÁW
230,Springfield,Illinois,117006,116250,0.0065,59.5æsqæmi,"1,954æperæsqæmi",39.7639ÁN 89.6708ÁW
231,Berkeley,California,116768,112580,0.0372,10.5æsqæmi,"10,752æperæsqæmi",37.8667ÁN 122.2991ÁW
232,Peoria,Illinois,116513,115007,0.0131,48.0æsqæmi,"2,396æperæsqæmi",40.7523ÁN 89.6171ÁW
233,Provo,Utah,116288,112488,0.0338,41.7æsqæmi,"2,699æperæsqæmi",40.2453ÁN 111.6448ÁW
234,El Monte,California,115708,113475,0.0197,9.6æsqæmi,"11,867æperæsqæmi",34.0746ÁN 118.0291ÁW
235,Columbia,Missouri,115276,108500,0.0625,63.1æsqæmi,"1,720æperæsqæmi",38.9479ÁN 92.3261ÁW
236,Lansing,Michigan,113972,114297,-0.0028,36.0æsqæmi,"3,171æperæsqæmi",42.7098ÁN 84.5562ÁW
237,Fargo,North Dakota,113658,105549,0.0768,48.8æsqæmi,"2,162æperæsqæmi",46.8652ÁN 96.8290ÁW
238,Downey,California,113242,111772,0.0132,12.4æsqæmi,"9,008æperæsqæmi",33.9382ÁN 118.1309ÁW
239,Costa Mesa,California,112174,109960,0.0201,15.7æsqæmi,"7,025æperæsqæmi",33.6659ÁN 117.9123ÁW
240,Wilmington,North Carolina,112067,106476,0.0525,51.5æsqæmi,"2,068æperæsqæmi",34.2092ÁN 77.8858ÁW
241,Arvada,Colorado,111707,106433,0.0496,35.1æsqæmi,"3,029æperæsqæmi",39.8097ÁN 105.1066ÁW
242,Inglewood,California,111542,109673,0.017,9.1æsqæmi,"12,095æperæsqæmi",33.9561ÁN 118.3443ÁW
243,Miami Gardens,Florida,111378,107167,0.0393,18.2æsqæmi,"5,878æperæsqæmi",25.9489ÁN 80.2436ÁW
244,Carlsbad,California,110972,105328,0.0536,37.7æsqæmi,"2,792æperæsqæmi",33.1239ÁN 117.2828ÁW
245,Westminster,Colorado,110945,106114,0.0455,31.6æsqæmi,"3,363æperæsqæmi",39.8822ÁN 105.0644ÁW
246,Rochester,Minnesota,110742,106769,0.0372,54.6æsqæmi,"1,956æperæsqæmi",44.0154ÁN 92.4772ÁW
247,Odessa,Texas,110720,99940,0.1079,42.0æsqæmi,"2,382æperæsqæmi",31.8804ÁN 102.3434ÁW
248,Manchester,New Hampshire,110378,109565,0.0074,33.1æsqæmi,"3,310æperæsqæmi",42.9847ÁN 71.4439ÁW
249,Elgin,Illinois,110145,108188,0.0181,37.2æsqæmi,"2,911æperæsqæmi",42.0396ÁN 88.3217ÁW
250,West Jordan,Utah,110077,103712,0.0614,32.5æsqæmi,"3,195æperæsqæmi",40.6023ÁN 112.0010ÁW
251,Round Rock,Texas,109821,99887,0.0995,34.1æsqæmi,"2,928æperæsqæmi",30.5237ÁN 97.6674ÁW
252,Clearwater,Florida,109703,107685,0.0187,25.6æsqæmi,"4,213æperæsqæmi",27.9795ÁN 82.7663ÁW
253,Waterbury,Connecticut,109676,110366,-0.0063,28.5æsqæmi,"3,870æperæsqæmi",41.5585ÁN 73.0367ÁW
254,Gresham,Oregon,109397,105594,0.036,23.2æsqæmi,"4,551æperæsqæmi",45.5023ÁN 122.4416ÁW
255,Fairfield,California,109320,105321,0.038,37.4æsqæmi,"2,817æperæsqæmi",38.2568ÁN 122.0397ÁW
256,Billings,Montana,109059,104170,0.0469,43.4æsqæmi,"2,399æperæsqæmi",45.7895ÁN 108.5499ÁW
257,Lowell,Massachusetts,108861,106519,0.022,13.6æsqæmi,"7,842æperæsqæmi",42.6389ÁN 71.3221ÁW
258,Ventura[29],California,108817,106433,0.0224,21.7æsqæmi,"4,915æperæsqæmi",34.2681ÁN 119.2550ÁW
259,Pueblo,Colorado,108249,106595,0.0155,53.6æsqæmi,"1,987æperæsqæmi",38.2731ÁN 104.6124ÁW
260,High Point,North Carolina,107741,104371,0.0323,53.8æsqæmi,"1,940æperæsqæmi",35.9855ÁN 79.9902ÁW
261,West Covina,California,107740,106098,0.0155,16.0æsqæmi,"6,614æperæsqæmi",34.0559ÁN 117.9099ÁW
262,Richmond,California,107571,103701,0.0373,30.1æsqæmi,"3,449æperæsqæmi",37.9530ÁN 122.3594ÁW
263,Murrieta,California,107479,103466,0.0388,33.6æsqæmi,"3,081æperæsqæmi",33.5719ÁN 117.1907ÁW
264,Cambridge,Massachusetts,107289,105162,0.0202,6.4æsqæmi,"16,469æperæsqæmi",42.3760ÁN 71.1183ÁW
265,Antioch,California,107100,102372,0.0462,28.3æsqæmi,"3,611æperæsqæmi",37.9775ÁN 121.7976ÁW
266,Temecula,California,106780,100097,0.0668,30.2æsqæmi,"3,320æperæsqæmi",33.5019ÁN 117.1246ÁW
267,Norwalk,California,106589,105549,0.0099,9.7æsqæmi,"10,873æperæsqæmi",33.9069ÁN 118.0834ÁW
268,Centennial,Colorado,106114,100377,0.0572,28.7æsqæmi,"3,495æperæsqæmi",39.5906ÁN 104.8691ÁW
269,Everett,Washington,105370,103019,0.0228,33.4æsqæmi,"3,080æperæsqæmi",48.0033ÁN 122.1742ÁW
270-(T),Palm Bay,Florida,104898,103190,0.0166,65.7æsqæmi,"1,571æperæsqæmi",27.9856ÁN 80.6626ÁW
270-(T),Wichita Falls,Texas,104898,104553,0.0033,72.1æsqæmi,"1,449æperæsqæmi",33.9067ÁN 98.5259ÁW
272,Green Bay,Wisconsin,104779,104057,0.0069,45.5æsqæmi,"2,289æperæsqæmi",44.5207ÁN 87.9842ÁW
273,Daly City,California,104739,101123,0.0358,7.7æsqæmi,"13,195æperæsqæmi",37.7009ÁN 122.4650ÁW
274,Burbank,California,104709,103340,0.0132,17.3æsqæmi,"5,959æperæsqæmi",34.1890ÁN 118.3249ÁW
275,Richardson,Texas,104475,99223,0.0529,28.6æsqæmi,"3,474æperæsqæmi",32.9723ÁN 96.7081ÁW
276,Pompano Beach,Florida,104410,99845,0.0457,24.0æsqæmi,"4,160æperæsqæmi",26.2426ÁN 80.1290ÁW
277,North Charleston,South Carolina,104054,97471,0.0675,76.6æsqæmi,"1,393æperæsqæmi",32.8853ÁN 80.0169ÁW
278,Broken Arrow,Oklahoma,103500,98850,0.047,61.6æsqæmi,"1,605æperæsqæmi",36.0365ÁN 95.7810ÁW
279,Boulder,Colorado,103166,97385,0.0594,25.7æsqæmi,"3,947æperæsqæmi",40.0175ÁN 105.2797ÁW
280,West Palm Beach,Florida,102436,99919,0.0252,55.3æsqæmi,"1,807æperæsqæmi",26.7483ÁN 80.1266ÁW
281,Santa Maria,California,102216,99553,0.0267,22.8æsqæmi,"4,375æperæsqæmi",34.9332ÁN 120.4438ÁW
282,El Cajon,California,102211,99478,0.0275,14.4æsqæmi,"6,892æperæsqæmi",32.8017ÁN 116.9605ÁW
283,Davenport,Iowa,102157,99685,0.0248,62.9æsqæmi,"1,584æperæsqæmi",41.5541ÁN 90.6040ÁW
284,Rialto,California,101910,99171,0.0276,22.4æsqæmi,"4,437æperæsqæmi",34.1118ÁN 117.3883ÁW
285,Edison,New Jersey,101450,99967,0.0148,30.638æsqæmi,"3,339.0æperæsqæmi",40.5039917N 74.3494111W
286,Las Cruces,New Mexico,101324,97618,0.038,76.3æsqæmi,"1,279æperæsqæmi",32.3197ÁN 106.7653ÁW
287,San Mateo,California,101128,97207,0.0403,15.9æsqæmi,"8,014æperæsqæmi",37.5542ÁN 122.3131ÁW
288,Lewisville,Texas,101074,95290,0.0607,42.5æsqæmi,"2,618æperæsqæmi",33.0383ÁN 97.0061ÁW
289,South Bend,Indiana,100886,101168,-0.0028,41.5æsqæmi,"2,440æperæsqæmi",41.6769ÁN 86.2690ÁW
290,Lakeland,Florida,100710,97422,0.0338,74.4æsqæmi,"1,711æperæsqæmi",28.0411ÁN 81.9589ÁW
291,Erie,Pennsylvania,100671,101786,-0.011,19.1æsqæmi,"5,334æperæsqæmi",42.1166ÁN 80.0735ÁW
292,Woodbridge,New Jersey,100574,99585,0.0099,24.587æsqæmi,"4,290.0æperæsqæmi",40.56075ÁN 74.29262ÁW
293,Tyler,Texas,100223,96900,0.0343,54.4æsqæmi,"1,782æperæsqæmi",32.35ÁN 95.30ÁW
294,Pearland,Texas,100065,91252,0.0966,47.5æsqæmi,"1,900æperæsqæmi",29.5544ÁN 95.2958ÁW
295,College Station,Texas,100050,93857,0.066,49.6æsqæmi,"1,978æperæsqæmi",30.6013ÁN 96.3144ÁW
