"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"241","Arvada","Colorado",111707,106433,"0.0496",351,3029,"39.8097¡N 105.1066¡W",398097,-1051066
"242","Inglewood","California",111542,109673,"0.017",91,12095,"33.9561¡N 118.3443¡W",339561,-1183443
"243","MiamiGardens","Florida",111378,107167,"0.0393",182,5878,"25.9489¡N 80.2436¡W",259489,-802436
"244","Carlsbad","California",110972,105328,"0.0536",377,2792,"33.1239¡N 117.2828¡W",331239,-1172828
"245","Westminster","Colorado",110945,106114,"0.0455",316,3363,"39.8822¡N 105.0644¡W",398822,-1050644
"246","Rochester","Minnesota",110742,106769,"0.0372",546,1956,"44.0154¡N 92.4772¡W",440154,-924772
"247","Odessa","Texas",110720,99940,"0.1079",420,2382,"31.8804¡N 102.3434¡W",318804,-1023434
"248","Manchester","New Hampshire",110378,109565,"0.0074",331,3310,"42.9847¡N 71.4439¡W",429847,-714439
"249","Elgin","Illinois",110145,108188,"0.0181",372,2911,"42.0396¡N 88.3217¡W",420396,-883217
"250","WestJordan","Utah",110077,103712,"0.0614",325,3195,"40.6023¡N 112.0010¡W",406023,-1120010
"251","RoundRock","Texas",109821,99887,"0.0995",341,2928,"30.5237¡N 97.6674¡W",305237,-976674
