"City","State","Change","lat","lon"
"Augusta","Georgia",0.0077,33.3655,-82.0734
"Amarillo","Texas",0.0301,35.1978,-101.8287
"Glendale","California",0.0224,34.1814,-118.2458
"Mobile","Alabama",-0.0011,30.6684,-88.1002
"Grand Rapids","Michigan",0.0226,42.9612,-85.6556
"Salt Lake City","Utah",0.0254,40.7785,-111.9314
"Tallahassee","Florida",0.0278,30.4551,-84.2534
"Huntsville","Alabama",0.0341,34.7843,-86.539
"Grand Prairie","Texas",0.0455,32.6842,-97.021
"Knoxville","Tennessee",0.0246,35.9709,-83.9465
"Worcester","Massachusetts",0.0083,42.2695,-71.8078
"Newport News","Virginia",0.0072,37.076,-76.5217
"Brownsville","Texas",0.0391,26.0183,-97.4538
"Overland Park","Kansas",0.0455,38.889,-94.6906
"Santa Clarita","California",0.0185,34.4049,-118.5047
"Providence","Rhode Island",3e-04,41.8231,-71.4188
"Garden Grove","California",0.0249,33.7788,-117.9605
"Chattanooga","Tennessee",0.0339,35.0665,-85.2471
"Oceanside","California",0.0342,33.2246,-117.3062
"Jackson","Mississippi",-0.005,32.3158,-90.2128
"Fort Lauderdale","Florida",0.0415,26.1413,-80.1439
"Santa Rosa","California",0.0249,38.4468,-122.7061
"Rancho Cucamonga","California",0.037,34.1233,-117.5642
"Port St Lucie","Florida",0.039,27.281,-80.3838
"Tempe","Arizona",0.0402,33.3884,-111.9318
"Ontario","California",0.0218,34.0395,-117.6088
"Vancouver","Washington",0.0347,45.6372,-122.5965
"Cape Coral","Florida",0.0747,26.6431,-81.9973
"Sioux Falls","South Dakota",0.0701,43.5383,-96.732
"Springfield","Missouri",0.029,37.1942,-93.2913
"Peoria","Arizona",0.0553,33.7877,-112.3111
"Pembroke Pines","Florida",0.054,26.0212,-80.3404
"Elk Grove","California",0.0522,38.4144,-121.3849
"Salem","Oregon",0.0387,44.9237,-123.0231
"Lancaster","California",0.0185,34.6936,-118.1753
"Corona","California",0.0468,33.8624,-117.5639
"Eugene","Oregon",0.0192,44.0567,-123.1162
"Palmdale","California",0.0289,34.5913,-118.109
"Salinas","California",0.0347,36.6902,-121.6337
"Springfield","Massachusetts",0.0042,42.1155,-72.54
"Pasadena","Texas",0.0248,29.6583,-95.1505
"Fort Collins","Colorado",0.0561,40.5482,-105.0648
"Hayward","California",0.0512,37.6281,-122.1063
"Pomona","California",0.0154,34.0586,-117.7613
"Cary","North Carolina",0.1172,35.7821,-78.8141
"Rockford","Illinois",-0.0171,42.2634,-89.0628
"Alexandria","Virginia",0.0638,38.8183,-77.082
"Escondido","California",0.0335,33.1336,-117.0732
"McKinney","Texas",0.133,33.2012,-96.668
"Kansas City","Kansas",0.0185,39.1225,-94.7418
"Joliet","Illinois",0.0025,41.5181,-88.1584
"Sunnyvale","California",0.0534,37.3858,-122.0263
"Torrance","California",0.014,33.835,-118.3414
"Bridgeport","Connecticut",0.0207,41.1874,-73.1957
"Lakewood","Colorado",0.0296,39.6989,-105.1176
